Brand Name,Shirt Name,Rating,Price,link,No. of ratings,Colour,Sleeve,Neck,Material,Fit Type,PG
Shein,Mock Neck Fluted Sleeve Tshirt,3.833333333333333,614,https://www.shein.in/Mock-Neck-Fluted-Sleeve-Tshirt-p-382861-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,1283,Pink,Long Sleeve,High Neck,"97% Polyester, 3% Spandex",Slim Fit,Shein
Shein,Laser Cut Out Detail Flounce Sleeve Tshirt,3.833333333333333,555,https://www.shein.in/Laser-Cut-Out-Detail-Flounce-Sleeve-Tshirt-p-429124-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,68,White,Three Quarter Length Sleeve,Round Neck,Polyester,Slim Fit,Shein
Shein,SHEIN Mock Neck Plaid Slim Tee,4.0,337,https://www.shein.in/Mock-Neck-Plaid-Slim-Tee-p-679355-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,9765,Black and White,Short Sleeve,Stand Collar,"95% Polyester, 5% Spandex",Slim Fit,Shein
Shein,SHEIN Plus Slogan Graphic Striped Sleeve Stepped Hem Tee,4.083333333333334,1011,https://www.shein.in/Plus-Slogan-Graphic-Striped-Sleeve-Stepped-Hem-Tee-p-972465-cat-1890.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,253,Grey,Three Quarter Length Sleeve,Round Neck,Polyester,Regular Fit,Shein
Shein,SHEIN Twist Hem Rib-knit Tee,4.166666666666667,624,https://www.shein.in/Twist-Hem-Rib-knit-Tee-p-815775-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,9999,Army Green,Long Sleeve,Round Neck,"95% Cotton, 5% Spandex",Modern Fit,Shein
Shein,Flower & Letter Graphic Tee,3.833333333333333,535,https://www.shein.in/Flower-Letter-Graphic-Tee-p-956656-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,61,White,Regular Sleeve,Round Neck,100% Polyester,Classic Fit,Shein
Shein,Mesh Panel Puff Sleeve Tee,4.0,789,https://www.shein.in/Mesh-Panel-Puff-Sleeve-Tee-p-945543-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,102,Black,Long Sleeve,V neck,"35% Cotton, 65% Polyester",Extreme Slim Fit,Shein
Shein,SHEIN Rib-knit Striped Fitted Tee,4.0,581,https://www.shein.in/Rib-knit-Striped-Fitted-Tee-p-842462-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,4862,Black,Long Sleeve,Stand Collar,"95% Polyester, 5% Spandex",Regular Fit,Shein
Shein,SHEIN Lettuce Trim Rib-knit Tee,4.0,382,https://www.shein.in/Lettuce-Trim-Rib-knit-Tee-p-1232705-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,1135,"Pastel, Baby Pink",Short Sleeve,Round Neck,"92% Polyester, 8% Spandex",Regular Fit,Shein
Shein,Plus Mock Neck Plaid Tee,4.083333333333334,999,https://www.shein.in/Plus-Mock-Neck-Plaid-Tee-p-919027-cat-1890.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,103,Multicolor,Regular Sleeve,Stand Collar,"95% Polyester, 5% Spandex",Regular Fit,Shein
Shein,Solid Button Through Ribbed Tee,4.0,912,https://www.shein.in/Solid-Button-Through-Ribbed-Tee-p-1194237-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,2505,White,Short Sleeve,Round Neck,100% Polyester,Slim Fit,Shein
Shein,Striped Tape Sleeve Tee,3.916666666666667,634,https://www.shein.in/Striped-Tape-Sleeve-Tee-p-598236-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,2813,Black,Long Sleeve,Hooded,"97% Polyester, 3% Spandex",Slight Stretch,Shein
Shein,SHEIN Plus Cartoon Print Striped Tee,4.083333333333334,962,https://www.shein.in/Plus-Cartoon-Print-Striped-Tee-p-1001317-cat-1890.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,64,Red,Regular Sleeve,Round Neck,"95% Polyester, 5% Spandex",Modern Fit,Shein
Shein,SHEIN V-cut Neck Form Fitted Tee,4.166666666666667,524,https://www.shein.in/V-cut-Neck-Form-Fitted-Tee-p-829505-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,9999,Burgundy,Regular Sleeve,V neck,Rayon,Classic Fit,Shein
Shein,Knot Hem Solid Crop Tee,3.916666666666667,500,https://www.shein.in/Knot-Hem-Solid-Crop-Tee-p-1195711-cat-1738.html?scici=Search~~RecentSearch~~1~~t%20shirts~~~~0~~0,432,Dusty Pink,Short Sleeve,Round Neck,100% Polyester,Modern Fit,Shein
